Time,Open,High,Low,Close
1709443500,61957.5,61964.5,61943,61964
1709443800,61966.5,61980.5,61939,61969.5
1709444100,61945.5,61970.5,61945.5,61949
1709444400,61952.5,61990.5,61952.5,61973.5
1709444700,61964.5,61995.5,61964.5,61995.5
1709445000,61999,61999,61936,61936
1709445300,61953,61957.5,61928.5,61940
1709445600,61940.5,61940.5,61876,61876
1709445900,61875.5,61889.5,61822,61839.5
1709446200,61843.5,61869.5,61805.5,61869.5
1709446500,61869.5,61906,61840,61905
1709446800,61902,62039.5,61889.5,62039.5
1709447100,62012.5,62072,62012.5,62044.5
1709447400,62066.5,62066.5,62007.5,62014
1709447700,62007,62007,61973.5,61996.5
1709448000,61973.5,61973.5,61937.5,61948.5
1709448300,61948,61974.5,61940,61962
1709448600,61956.5,61976,61905.5,61910.5
1709448900,61919.5,61919.5,61905.5,61910
1709449200,61909.5,61928,61881.5,61919
1709449500,61909.5,61914,61870,61870
1709449800,61903.5,61940,61903.5,61932.5
1709450100,61918,61918,61862,61887
1709450400,61879.5,61931,61811.5,61811.5
1709450700,61786,61791.5,61465.5,61510
1709451000,61715,61726.5,61375.5,61554.5
1709451300,61634.5,61655.5,61492,61614.5
1709451600,61617,61620,61469,61551
1709451900,61545,61689,61545,61689
1709452200,61671.5,61714,61654,61713
1709452500,61718.5,61729,61626,61626
1709452800,61713.5,61738,61640.5,61647
1709453100,61627,61627,61466,61466
1709453400,61460,61584.5,61450.5,61517.5
1709453700,61508.5,61639,61508.5,61546
1709454000,61533.5,61563.5,61511.5,61549.5
1709454300,61553,61616,61550.5,61569.5
1709454600,61630,61701,61630,61698.5
1709454900,61699.5,61704.5,61654,61678.5
1709455200,61682.5,61686.5,61618,61686.5
1709455500,61701.5,61743,61701.5,61711
1709455800,61728.5,61728.5,61638,61681
1709456100,61686,61686,61603,61640.5
1709456400,61611.5,61790,61604,61790
1709456700,61778.5,61857.5,61778.5,61817.5
1709457000,61840,61875,61758,61875
1709457300,61875,61889,61827.5,61887.5
1709457600,61890.5,61890.5,61801.5,61828.5
1709457900,61825,61844.5,61789.5,61844.5
1709458200,61822.5,61886,61814.5,61886
1709458500,61917,61944,61858,61864
1709458800,61850.5,61850.5,61774,61789.5
1709459100,61774,61775.5,61750,61750
1709459400,61783.5,61803,61779.5,61783
1709459700,61780.5,61786.5,61748,61748
1709460000,61760.5,61760.5,61705.5,61705.5
1709460300,61719,61735,61672,61685
1709460600,61682,61688.5,61668,61671.5
1709460900,61651.5,61736,61651.5,61736
1709461200,61718,61778.5,61718,61778.5
1709461500,61776,61817,61766,61817
1709461800,61817,61845,61802,61804
1709462100,61816.5,61847.5,61784.5,61846.5
1709462400,61833,61845,61818,61818
1709462700,61798,61798,61748,61750
1709463000,61746.5,61746.5,61712.5,61726
1709463300,61706,61720.5,61701.5,61701.5
1709463600,61671,61697.5,61668,61697.5
1709463900,61699.5,61750,61696,61750
1709464200,61742,61751,61706,61734.5
1709464500,61722.5,61818.5,61715.5,61806.5
1709464800,61815.5,61825.5,61783,61787
1709465100,61786,61786,61749.5,61749.5
1709465400,61773,61782.5,61747.5,61782
1709465700,61781.5,61835,61781.5,61833
1709466000,61833.5,61852.5,61810.5,61810.5
1709466300,61799,61831,61799,61818.5
1709466600,61832,61864.5,61799,61864.5
1709466900,61846.5,61875.5,61846,61875.5
1709467200,61870,61942.5,61863.5,61942.5
1709467500,61944,62162,61944,62162
1709467800,62232.5,62309,62192,62309
1709468100,62289.5,62413,62289.5,62413
1709468400,62424,62475,62334.5,62475
1709468700,62432.5,62696,62432.5,62665.5
1709469000,62671,62693,62425.5,62572.5
1709469300,62538,62592.5,62406,62497.5
1709469600,62545,62548,62404.5,62457.5
1709469900,62417,62417,62220.5,62332.5
1709470200,62310.5,62333.5,62217.5,62309.5
1709470500,62298,62303,62241,62246
1709470800,62262,62349.5,62262,62334.5
1709471100,62420.5,62450,62355,62400.5
1709471400,62381.5,62398,62369.5,62371
1709471700,62316,62316,62116,62116
1709472000,62028.5,62131.5,62028.5,62115.5
1709472300,62123,62161.5,62119,62150.5
1709472600,62175.5,62206.5,62112,62132.5
1709472900,62124.5,62218,62090,62217.5
1709473200,62244,62302,62244,62279
1709473500,62330,62338,62293.5,62338
1709473800,62338.5,62352.5,62298,62352.5
1709474100,62359,62417,62359,62417
1709474400,62461,62461,62335.5,62350
1709474700,62306,62335,62298,62335
1709475000,62338.5,62376,62328.5,62352.5
1709475300,62348,62394,62302,62302
1709475600,62311.5,62379,62311,62361.5
1709475900,62370.5,62416,62341.5,62399
1709476200,62408,62412.5,62250,62279
1709476500,62250,62280.5,62194.5,62267
1709476800,62269.5,62324.5,62269.5,62296.5
1709477100,62306.5,62314.5,62236,62260.5
1709477400,62280.5,62280.5,62167.5,62167.5
1709477700,62169.5,62244,62159,62196
1709478000,62127,62222.5,62127,62222.5
1709478300,62233,62233,62191.5,62193
1709478600,62183,62183,62133,62133
1709478900,62145,62278.5,62145,62278.5
1709479200,62256,62293,62236,62248
1709479500,62236.5,62267.5,62160.5,62181
1709479800,62186,62190.5,62145,62179.5
1709480100,62171,62269.5,62171,62215.5
1709480400,62211.5,62267,62211.5,62265.5
1709480700,62264.5,62264.5,62198,62230
1709481000,62251,62251.5,62220.5,62226
1709481300,62229.5,62231,62190.5,62190.5
1709481600,62218.5,62233,62145,62172
1709481900,62160.5,62229,62138.5,62229
1709482200,62236,62366,62236,62326
1709482500,62323,62372,62310.5,62370
1709482800,62354.5,62354.5,62308.5,62317.5
1709483100,62346,62446.5,62346,62446.5
1709483400,62451,62485.5,62441.5,62483.5
1709483700,62477.5,62609.5,62477,62590.5
1709484000,62610,62746.5,62608,62662.5
1709484300,62723,62793,62605.5,62793
1709484600,62825.5,62866,62750.5,62866
1709484900,62895,62895,62815.5,62857.5
1709485200,62906.5,62941,62822.5,62941
1709485500,62910,63034.5,62820,62820
1709485800,62914.5,62963,62759.5,62759.5
1709486100,62755.5,62883.5,62755.5,62883.5
1709486400,62882,62882,62810,62863.5
1709486700,62848.5,62866.5,62786.5,62800.5
1709487000,62757,62776.5,62533.5,62533.5
1709487300,62594.5,62696,62594.5,62664.5
1709487600,62706.5,62740.5,62699,62715.5
1709487900,62724,62747,62676,62688.5
1709488200,62672.5,62672.5,62610.5,62656.5
1709488500,62650,62659,62628.5,62642.5
1709488800,62642,62720,62642,62720
1709489100,62709.5,62722.5,62699,62699
1709489400,62720,62852,62720,62830
1709489700,62830.5,62861,62816.5,62824.5
1709490000,62787,62805.5,62769,62805.5
1709490300,62802,62802,62699.5,62753
1709490600,62753.5,62753.5,62647.5,62647.5
1709490900,62672.5,62823.5,62652.5,62823.5
1709491200,62839,62918,62839,62874
1709491500,62854,62854,62762.5,62774.5
1709491800,62813,62925,62813,62925
1709492100,62904,62915.5,62869,62869
1709492400,62871.5,62919,62817,62817
1709492700,62832,62834.5,62774.5,62832.5
1709493000,62808.5,62884.5,62792.5,62848
1709493300,62857,62878,62812,62812
1709493600,62794.5,62814,62726.5,62776
1709493900,62762.5,62816.5,62756.5,62794
1709494200,62826.5,62826.5,62750,62750
1709494500,62737,62791.5,62730,62776.5
1709494800,62776,62776,62712,62712
1709495100,62762,62818.5,62762,62805.5
1709495400,62806,62806,62738,62738
1709495700,62723.5,62794.5,62721,62781.5
1709496000,62794.5,62813,62718,62718
1709496300,62690.5,62699.5,62648,62699.5
1709496600,62685,62685,62638.5,62673
1709496900,62686,62750.5,62665.5,62750.5
1709497200,62749,62749,62707,62746.5
1709497500,62766.5,62855,62764.5,62836.5
1709497800,62861.5,62905.5,62842.5,62884
1709498100,62897.5,62897.5,62834,62834
1709498400,62819,62894.5,62819,62894.5
1709498700,62894,62906,62821.5,62830.5
1709499000,62839,62871,62811.5,62811.5
1709499300,62825.5,62829.5,62796.5,62812.5
1709499600,62811.5,62855.5,62802,62840
1709499900,62855.5,62855.5,62788,62788
1709500200,62734.5,62738.5,62700.5,62706
1709500500,62732,62760,62693,62693
1709500800,62711,62713.5,62693,62698
1709501100,62686,62718.5,62683.5,62718.5
1709501400,62734.5,62778.5,62729,62742.5
1709501700,62743,62833,62743,62829
1709502000,62849.5,62854,62812.5,62827.5
1709502300,62832,62888,62811,62888
1709502600,62871,62871,62824,62824
1709502900,62837,62881,62825.5,62881
1709503200,62869.5,62888,62850,62887.5
1709503500,62895,62921.5,62843,62919
1709503800,62934,63081.5,62920.5,63081.5
1709504100,63065,63090,62919,63090
1709504400,63185,63292,63110,63246.5
1709504700,63233.5,63302,63194,63222.5
1709505000,63220.5,63281.5,63220.5,63250.5
1709505300,63207.5,63302,63207.5,63258
1709505600,63259,63259,63126.5,63128
1709505900,63150,63150,62971.5,62983
1709506200,62979,62979,62854,62868.5
1709506500,62779.5,62904,62756.5,62876
1709506800,62832.5,62841,62785.5,62829.5
1709507100,62813,62861.5,62798,62861.5
1709507400,62846.5,62941,62799,62941
1709507700,62934.5,62967,62913,62913
1709508000,62918.5,63019,62918.5,62972
1709508300,62975.5,63001.5,62956.5,62990.5
1709508600,62996.5,62998,62951.5,62951.5
1709508900,62945,62945,62878,62878
1709509200,62897.5,62966.5,62860,62965
1709509500,62971,63019,62932.5,63001.5
1709509800,63022,63149.5,63003.5,63149.5
1709510100,63127,63197.5,63127,63159.5
1709510400,63184.5,63205.5,63083.5,63112.5
1709510700,63160.5,63255,63118.5,63255
1709511000,63253.5,63336,63253.5,63299.5
1709511300,63349,63488.5,63348.5,63488.5
1709511600,63501.5,63558.5,63446,63446
1709511900,63488.5,63849,63488.5,63849
1709512200,63885,64006.5,63875,63910.5
1709512500,63964.5,64141.5,63964.5,64083.5
1709512800,64052,64420,64052,64275.5
1709513100,64206.5,64206.5,63386.5,63386.5
1709513400,62556.5,63242,62556.5,63242
1709513700,63398,63527,63389.5,63467
1709514000,63446,63767,63446,63546
1709514300,63483.5,63520,63334.5,63338.5
1709514600,63433.5,63522,63384,63511.5
1709514900,63499.5,63628,63474,63576
1709515200,63587,63694,63578.5,63606
1709515500,63586.5,63872.5,63566.5,63872.5
1709515800,63768,63806,63680,63805
1709516100,63799.5,63861.5,63783.5,63808
1709516400,63700.5,63805.5,63700.5,63778.5
1709516700,63798.5,63810,63610.5,63610.5
1709517000,63590.5,63655.5,63590.5,63594.5
1709517300,63573.5,63665,63553.5,63575
1709517600,63567,63567,63496,63511
1709517900,63582,63591.5,63413,63413
1709518200,63251,63345.5,63228.5,63345.5
1709518500,63291,63375.5,63238.5,63265.5
1709518800,63290,63477,63290,63477
1709519100,63532,63647,63526,63647
1709519400,63614,63778,63607.5,63751
1709519700,63830,63915.5,63815,63915.5
1709520000,63845.5,63910.5,63818,63910.5
1709520300,63899,63899,63828,63868
1709520600,63854.5,63858,63680,63794.5
1709520900,63791.5,63816.5,63678.5,63734.5
1709521200,63758,63758,63585.5,63659
1709521500,63606.5,63680.5,63578,63601.5
1709521800,63564,63634.5,63564,63625
1709522100,63661.5,63716,63596,63708
1709522400,63622,63750,63611,63750
1709522700,63724.5,63789,63685,63789
1709523000,63775.5,63775.5,63625,63625
1709523300,63625.5,63625.5,63507,63507
1709523600,63535,63599.5,63533,63599.5
1709523900,63570,63602.5,63556.5,63556.5
1709524200,63592.5,63592.5,63431,63431
1709524500,63440,63485.5,63412,63485.5
1709524800,63511,63536,63447.5,63447.5
